name,bpi_name
Santa Clara,Santa Clara
Savannah St.,Savannah State
Seattle,Seattle U
Seton Hall,Seton Hall
Siena,Siena
South Alabama,South Alabama
South Carolina,South Carolina
South Carolina St.,S Carolina St
South Dakota,South Dakota
South Dakota St.,South Dakota St
South Florida,South Florida
Southeast Missouri St.,SE Missouri St
Southeastern Louisiana,SE Louisiana
Southern,Southern
Southern Illinois,S Illinois
Southern Miss,Southern Miss
Southern Utah,Southern Utah
St. Bonaventure,St. Bonaventure
St. Francis NY,St Francis (NY)
St. Francis PA,St Francis (PA)
St. John's,St. John's
Stanford,Stanford
Stephen F. Austin,SF Austin
Stetson,Stetson
Stony Brook,Stony Brook
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Tennessee Martin,UT Martin
Tennessee St.,Tenn St
Tennessee Tech,Tenn Tech
Texas,Texas
Texas A&M,Texas A&M
Texas A&M Corpus Chris,Texas A&M-CC
Texas Pan American,TX-Pan American
Texas Southern,Texas Southern
Texas St.,Texas State
Texas Tech,Texas Tech
The Citadel,The Citadel
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UC Davis,UC Davis
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC Santa Barbara,UC Santa Barbara
UCF,UCF
UCLA,UCLA
UIC,UIC
UMBC,UMBC
UMKC,UMKC
UMass Lowell,UMass Lowell
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC-Wilmington
UNLV,UNLV
USC,USC
USC Upstate,USC Upstate
UT Arlington,TX-Arlington
UTEP,UTEP
UTSA,UTSA
Utah,Utah
Utah St.,Utah State
Utah Valley,Utah Valley
VCU,VCU
VMI,VMI
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia Tech
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington St.,Washington St
Weber St.,Weber State
West Virginia,West Virginia
Western Carolina,W Carolina
Western Illinois,W Illinois
Western Kentucky,W Kentucky
Western Michigan,W Michigan
Wichita St.,Wichita State
William & Mary,William & Mary
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright St.,Wright State
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
Youngstown St.,Youngstown St
